priority,error_type,error_count,problem,tables,recommended_fix,samples
1,FK_MISSING_PARENT,2197,rdc_drug_reference.reference_id references missing reference.reference_id.,rdc_drug_reference(2197),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- rdc_drug_reference.csv line 2: drug_id=RDC00751; reference_id=RE00751
- rdc_drug_reference.csv line 3: drug_id=RDC00752; reference_id=RE00751
- rdc_drug_reference.csv line 4: drug_id=RDC00754; reference_id=RE00753
- rdc_drug_reference.csv line 5: drug_id=RDC00755; reference_id=RE00754
- rdc_drug_reference.csv line 6: drug_id=RDC00756; reference_id=RE00754
- rdc_drug_reference.csv line 7: drug_id=RDC00757; reference_id=RE00754
- rdc_drug_reference.csv line 8: drug_id=RDC00758; reference_id=RE00754
- rdc_drug_reference.csv line 9: drug_id=RDC00759; reference_id=RE00755"
2,DECIMAL_INVALID,2146,"animal_in_vivo_biodist.dosage_value is DECIMAL, but CSV contains ranges, mean +/- sd, dates, or text.",animal_in_vivo_biodist(2146),"Use one numeric value, or change schema to store raw_value / min / max / error separately.","- animal_in_vivo_biodist.csv line 6: study_ref_id=BIO00101; biodist_type=Imaging; animal_model=SCID mice were subcutaneously injected into the right flank with H2009 or MDA-MB-231 cells; dosage_symbols==; dosage_value=15-20; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 7: study_ref_id=BIO00101; biodist_type=Imaging; animal_model=SCID mice were subcutaneously injected into the right flank with H2009 or MDA-MB-231 cells; dosage_symbols==; dosage_value=15-20; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 8: study_ref_id=BIO00101; biodist_type=Imaging; animal_model=SCID mice were subcutaneously injected into the right flank with H2009 or MDA-MB-231 cells; dosage_symbols==; dosage_value=15-20; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 50: study_ref_id=BIO00118; biodist_type=Ex vivo biodistribution; animal_model=Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu; dosage_symbols==; dosage_value=3-3.7; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 51: study_ref_id=BIO00118; biodist_type=Ex vivo biodistribution; animal_model=Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu; dosage_symbols==; dosage_value=3-3.7; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 52: study_ref_id=BIO00119; biodist_type=Ex vivo biodistribution; animal_model=Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu; dosage_symbols==; dosage_value=3-3.7; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 53: study_ref_id=BIO00119; biodist_type=Ex vivo biodistribution; animal_model=Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu; dosage_symbols==; dosage_value=3-3.7; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 54: study_ref_id=BIO00120; biodist_type=Ex vivo biodistribution; animal_model=Subcutaneous implantation of BxPC-3 cells into the left shoulder of 6-8 week old female nu; dosage_symbols==; dosage_value=3-3.7; dosage_unit=MBq"
3,ENUM_INVALID,1697,"chemical_entity.entity_category only allows cold_compound, ligand, linker, chelator, radionuclide. CSV contains other values.",chemical_entity(1697),"Normalize enum values, e.g. Radionuclide -> radionuclide. Rows with entity_category=RDC probably do not belong in chemical_entity.","- chemical_entity.csv line 56: entity_id=RDC00100; entity_category=RDC; name=[68Ga]Ga-D0103
- chemical_entity.csv line 57: entity_id=RDC00101; entity_category=RDC; name=[68Ga]Ga-Trivehexin
- chemical_entity.csv line 58: entity_id=RDC00102; entity_category=RDC; name=[90Y]Y-3PRGD2
- chemical_entity.csv line 59: entity_id=RDC00103; entity_category=RDC; name=[111In]In-3PRGD2
- chemical_entity.csv line 60: entity_id=RDC00104; entity_category=RDC; name=[111In]In-RGD4
- chemical_entity.csv line 61: entity_id=RDC00105; entity_category=RDC; name=[90Y]Y-RGD4
- chemical_entity.csv line 62: entity_id=RDC00106; entity_category=RDC; name=[99mTc]Tc-(RGD)6
- chemical_entity.csv line 63: entity_id=RDC00107; entity_category=RDC; name=[99mTc]Tc-(RGD)4"
4,DATE_INVALID,1464,"reference.publication_date is DATE, but CSV uses formats like 20-Jun-25 or 2026 Jan 10.",reference(1464),Convert to YYYY-MM-DD before import. Example: 20-Jun-25 -> 2025-06-20.,"- reference.csv line 2: reference_id=RE00100; title=PET/CT imaging of esophageal cancer targeting tumor cell specific αvβ6-integrin expression; journal=European journal of nuclear medicine and molecular imaging; publication_date=20-Jun-25; doi=10.1007/s00259-025-07408-7
- reference.csv line 3: reference_id=RE00101; title=PET/CT imaging of head-and-neck and pancreatic cancer in humans by targeting the ""Cancer I; journal=European journal of nuclear medicine and molecular imaging; publication_date=24-Sep-21; volume=49; issue=4
- reference.csv line 4: reference_id=RE00102; title=Two ⁹⁰Y-labeled multimeric RGD peptides RGD4 and 3PRGD2 for integrin targeted radionuclide; journal=Molecular pharmaceutics; publication_date=19-Jan-11; volume=8; issue=2
- reference.csv line 5: reference_id=RE00103; title=Design of a Tetravalent RGD Peptide Capable of Simultaneous Binding with Multiple Integrin; journal=Journal of medicinal chemistry; publication_date=13-May-25; volume=68; issue=6
- reference.csv line 6: reference_id=RE00104; title=Preclinical Evaluation of 68Ga- and 177Lu-Labeled Integrin αvβ6-Targeting Radiotheranostic; journal=Journal of nuclear medicine : official publication, Society of Nuclear Medicine; publication_date=7-Oct-22; volume=64; issue=4
- reference.csv line 7: reference_id=RE00104; title=Preclinical Evaluation of 68Ga- and 177Lu-Labeled Integrin αvβ6-Targeting Radiotheranostic; journal=Journal of nuclear medicine : official publication, Society of Nuclear Medicine; publication_date=7-Oct-22; volume=64; issue=4
- reference.csv line 8: reference_id=RE00105; title=[68Ga]NODAGA-RGD for imaging αvβ3 integrin expression; journal=European journal of nuclear medicine and molecular imaging; publication_date=13-Apr-11; volume=38; issue=7
- reference.csv line 9: reference_id=RE00106; title=(64)Cu-labeled tetrameric and octameric RGD peptides for small-animal PET of tumor alpha(v; journal=Journal of nuclear medicine : official publication, Society of Nuclear Medicine; publication_date=15-Jun-07; volume=48; issue=7"
5,DECIMAL_INVALID,717,"animal_in_vivo_biodist.tbr_tumor_blood is DECIMAL, but CSV contains ranges, mean +/- sd, dates, or text.",animal_in_vivo_biodist(717),"Use one numeric value, or change schema to store raw_value / min / max / error separately.","- animal_in_vivo_biodist.csv line 9: study_ref_id=BIO00102; biodist_type=Ex vivo biodistribution; animal_model=In SCID mice, human lung adenocarcinoma cell line H2009 cell line was subcutaneously trans; dosage_symbols==; dosage_value=3; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 10: study_ref_id=BIO00103; biodist_type=Ex vivo biodistribution; animal_model=In SCID mice, human lung adenocarcinoma cell line H2009 cell line was subcutaneously trans; dosage_symbols==; dosage_value=3; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 35: study_ref_id=BIO00108; biodist_type=Ex vivo biodistribution; animal_model=5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in t; dosage_symbols==; dosage_value=0.01; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 36: study_ref_id=BIO00108; biodist_type=Ex vivo biodistribution; animal_model=5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in t; dosage_symbols==; dosage_value=0.01; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 37: study_ref_id=BIO00108; biodist_type=Ex vivo biodistribution; animal_model=5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in t; dosage_symbols==; dosage_value=0.01; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 38: study_ref_id=BIO00109; biodist_type=Ex vivo biodistribution; animal_model=5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in t; dosage_symbols==; dosage_value=0.01; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 39: study_ref_id=BIO00109; biodist_type=Ex vivo biodistribution; animal_model=5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in t; dosage_symbols==; dosage_value=0.01; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 40: study_ref_id=BIO00109; biodist_type=Ex vivo biodistribution; animal_model=5-week-old male BALB c nu/nu mice were subcutaneously injected with MDA-MB-435S cells in t; dosage_symbols==; dosage_value=0.01; dosage_unit=MBq"
6,DECIMAL_INVALID,309,"chemical_affinity.affinity_value is DECIMAL, but CSV contains ranges, mean +/- sd, dates, or text.",chemical_affinity(309),"Use one numeric value, or change schema to store raw_value / min / max / error separately.","- chemical_affinity.csv line 2: affinity_id=CHAF00001; chemical_entity_id=CC02020; affinity_type=IC50; affinity_symbols==; affinity_value=50.0 ± 4.4; affinity_unit=nM
- chemical_affinity.csv line 3: affinity_id=CHAF00002; chemical_entity_id=CC02021; affinity_type=IC50; affinity_symbols==; affinity_value=29.0 ± 0.6; affinity_unit=nM
- chemical_affinity.csv line 4: affinity_id=CHAF00003; chemical_entity_id=CC02022; affinity_type=IC50; affinity_symbols==; affinity_value=2.8±1.0; affinity_unit=nM
- chemical_affinity.csv line 5: affinity_id=CHAF00004; chemical_entity_id=CC02023; affinity_type=IC50; affinity_symbols==; affinity_value=2.8±1.0; affinity_unit=nM
- chemical_affinity.csv line 6: affinity_id=CHAF00005; chemical_entity_id=CC02024; affinity_type=IC50; affinity_symbols==; affinity_value=（3.2 ± 0.9） * 10^-7; affinity_unit=M
- chemical_affinity.csv line 7: affinity_id=CHAF00006; chemical_entity_id=LIG00103; affinity_type=IC50; affinity_symbols==; affinity_value=（3.5 ± 0.3） * 10^-8; affinity_unit=M
- chemical_affinity.csv line 8: affinity_id=CHAF00007; chemical_entity_id=CC02025; affinity_type=IC50; affinity_symbols==; affinity_value=（1.1 ± 0.2）*10^−7; affinity_unit=M
- chemical_affinity.csv line 9: affinity_id=CHAF00008; chemical_entity_id=LIG00103; affinity_type=IC50; affinity_symbols==; affinity_value=（1.0 ± 0.2）*10^−8; affinity_unit=M"
7,FK_MISSING_PARENT,281,chemical_affinity.chemical_entity_id references missing chemical_entity.entity_id.,chemical_affinity(281),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- chemical_affinity.csv line 21: affinity_id=CHAF00020; chemical_entity_id=LIG00102; affinity_type=IC50; affinity_symbols==; affinity_value=0.9; affinity_unit=nM
- chemical_affinity.csv line 40: affinity_id=CHAF00039; chemical_entity_id=CC00139; affinity_type=IC50; affinity_symbols==; affinity_value=304.8; affinity_unit=nM
- chemical_affinity.csv line 41: affinity_id=CHAF00040; chemical_entity_id=LIG00127; affinity_type=IC50; affinity_symbols==; affinity_value=252.8; affinity_unit=nM
- chemical_affinity.csv line 42: affinity_id=CHAF00041; chemical_entity_id=LIG00111; affinity_type=IC50; affinity_symbols==; affinity_value=1081.8; affinity_unit=nM
- chemical_affinity.csv line 54: affinity_id=CHAF00053; chemical_entity_id=CC00139; affinity_type=IC50; affinity_symbols==; affinity_value=304.8; affinity_unit=nM
- chemical_affinity.csv line 55: affinity_id=CHAF00054; chemical_entity_id=LIG00127; affinity_type=IC50; affinity_symbols==; affinity_value=252.8; affinity_unit=nM
- chemical_affinity.csv line 56: affinity_id=CHAF00055; chemical_entity_id=LIG00111; affinity_type=IC50; affinity_symbols==; affinity_value=1081.8; affinity_unit=nM
- chemical_affinity.csv line 57: affinity_id=CHAF00056; chemical_entity_id=LIG00127; affinity_type=IC50; affinity_symbols==; affinity_value=1354.5; affinity_unit=nM"
8,FK_MISSING_PARENT,262,drug_indication.indication_id references missing indication.indication_id.,drug_indication(262),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- drug_indication.csv line 2: drug_id=RDC02854; indication_id=IN00139
- drug_indication.csv line 4: drug_id=RDC00008; indication_id=IN00139
- drug_indication.csv line 14: drug_id=RDC00031; indication_id=IN00009, IN00062, IN00056
- drug_indication.csv line 20: drug_id=RDC00034; indication_id=IN00138
- drug_indication.csv line 24: drug_id=RDC00035; indication_id=IN00138
- drug_indication.csv line 125: drug_id=RDC00085; indication_id=IN00138
- drug_indication.csv line 187: drug_id=RDC00152; indication_id=IN00006, IN00001, IN00050, IN00009, IN00042, IN00056
- drug_indication.csv line 188: drug_id=RDC00153; indication_id=IN00006, IN00001, IN00050, IN00009, IN00042, IN00056"
9,FK_MISSING_PARENT,206,in_vitro_measurement.in_vitro_ref_id references missing in_vitro.in_vitro_id.,in_vitro_measurement(206),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- in_vitro_measurement.csv line 66: in_vitro_ref_id=VI00257; measurement_category=Affinity; measurement_type=IC50; measurement_symbols==; measurement_value=86 ± 7; measurement_unit=nM
- in_vitro_measurement.csv line 80: in_vitro_ref_id=VI00309; measurement_category=Partition_coefficient; measurement_type=LogP; measurement_symbols==; measurement_value=-1.68
- in_vitro_measurement.csv line 81: in_vitro_ref_id=VIO0309; measurement_category=Affinity; measurement_type=Ki; measurement_symbols==; measurement_value=13.2±5.4; measurement_unit=nM
- in_vitro_measurement.csv line 82: in_vitro_ref_id=VIO0312; measurement_category=Affinity; measurement_type=IC50; measurement_symbols==; measurement_value=68.9±0.2; measurement_unit=nM
- in_vitro_measurement.csv line 89: in_vitro_ref_id=VI00340; measurement_category=Affinity; measurement_type=Kd; measurement_symbols==; measurement_value=1.25 ± 0.16; measurement_unit=nM
- in_vitro_measurement.csv line 97: in_vitro_ref_id=VI00355; measurement_category=Affinity; measurement_type=Kd; measurement_symbols==; measurement_value=6.6 ± 2.0; measurement_unit=nM
- in_vitro_measurement.csv line 98: in_vitro_ref_id=VI00356; measurement_category=Affinity; measurement_type=Kd; measurement_symbols==; measurement_value=6.6 ± 2.0; measurement_unit=nM
- in_vitro_measurement.csv line 102: in_vitro_ref_id=VI00388; measurement_category=Partition_coefficient; measurement_type=Log P; measurement_symbols==; measurement_value=-2.40 ± 0.05; method_description=The test compound is added to an immiscible n-octanol-water two-phase system and thoroughl"
10,FK_MISSING_PARENT,151,human_activity.drug_id references missing rdc_drug.drug_id.,human_activity(151),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- human_activity.csv line 34: activity_id=HU0033; drug_id=RDC00466; pmid=18483090; doi=10.2967/jnumed.107.049452; indication=Detecting tumor lesions in patients with metastatic breast cancer; patients=7 Breast cancer patients with distant metastasis have occurred.(age>25y,performance status
- human_activity.csv line 35: activity_id=HU0034; drug_id=RDC00466; pmid=18483090; doi=10.2967/jnumed.107.049452; indication=Detecting tumor lesions in patients with metastatic breast cancer; patients=7 Breast cancer patients with distant metastasis have occurred.(age>25y,performance status
- human_activity.csv line 47: activity_id=HU0046; drug_id=RDC00606; pmid=25168627; doi=10.2967/jnumed.114.144543; indication=Imaging of somatostatin receptor-positive tumors (Neuroendocrine tumors); patients=Imaging of neuroendocrine tumors and their metastases
- human_activity.csv line 48: activity_id=HU0047; drug_id=RDC00606; pmid=30953466; doi=10.1186/s12885-019-5540-5; indication=Detection of SSTR2 expression in MTC lesions; patients=Treated cohort (N=10); Retrospective untreated cohort (N=35)
- human_activity.csv line 75: activity_id=HU0074; drug_id=RDC00609; pmid=30014345; doi=10.1007/s11307-018-1252-5; indication=Grade 1/Grade 2 Pancreatic Neuroendocrine Tumors; patients=31
- human_activity.csv line 76: activity_id=HU0075; drug_id=RDC00609; pmid=30014345; doi=10.1007/s11307-018-1252-5; indication=Grade 1/Grade 2 Pancreatic Neuroendocrine Tumors; patients=31
- human_activity.csv line 103: activity_id=HU0102; drug_id=RDC00609; pmid=31755622; doi=10.1002/hed.26024; indication=Somatostatin receptor-positive metastatic medullary thyroid carcinoma (MTC); patients=43 patients (35 male, 8 female; median age 48 years, range 25-80)
- human_activity.csv line 104: activity_id=HU0103; drug_id=RDC00609; pmid=31755622; doi=10.1002/hed.26024; indication=Somatostatin receptor-positive metastatic medullary thyroid carcinoma (MTC); patients=43 patients (35 male, 8 female; median age 48 years, range 25-80)"
11,FK_MISSING_PARENT,107,rdc_drug_reference.drug_id references missing rdc_drug.drug_id.,rdc_drug_reference(107),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- rdc_drug_reference.csv line 33: drug_id=RDC00057; reference_id=RE001465
- rdc_drug_reference.csv line 100: drug_id=RDC00920; reference_id=RE01389
- rdc_drug_reference.csv line 195: drug_id=RDC00130; reference_id=RE00114
- rdc_drug_reference.csv line 322: drug_id=RDC00296; reference_id=RE00210
- rdc_drug_reference.csv line 323: drug_id=RDC00297; reference_id=RE00211
- rdc_drug_reference.csv line 324: drug_id=RDC00298; reference_id=RE00212
- rdc_drug_reference.csv line 325: drug_id=RDC00300; reference_id=RE00213
- rdc_drug_reference.csv line 326: drug_id=RDC00302; reference_id=RE00214"
12,FK_MISSING_PARENT,90,drug_target.target_id references missing target.target_id.,drug_target(90),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- drug_target.csv line 16: drug_id=RDC00116; target_id=TAR0023, TAR0065, TAR0064
- drug_target.csv line 24: drug_id=RDC00124; target_id=TAR0023, TAR0020
- drug_target.csv line 42: drug_id=RDC00149; target_id=TAR0015, TAR0023
- drug_target.csv line 43: drug_id=RDC00150; target_id=TAR0015, TAR0023
- drug_target.csv line 44: drug_id=RDC00151; target_id=TAR0015, TAR0023
- drug_target.csv line 45: drug_id=RDC00152; target_id=TAR0003，TAR0023
- drug_target.csv line 46: drug_id=RDC00153; target_id=TAR0003，TAR0023
- drug_target.csv line 47: drug_id=RDC00154; target_id=TAR0003，TAR0023"
13,DECIMAL_INVALID,77,"animal_in_vivo_efficacy.efficacy_dosage_value is DECIMAL, but CSV contains ranges, mean +/- sd, dates, or text.",animal_in_vivo_efficacy(77),"Use one numeric value, or change schema to store raw_value / min / max / error separately.","- animal_in_vivo_efficacy.csv line 4: study_ref_id=EF00114; efficacy_animal_model=BxPC-3 cells (5 3 106) were implanted subcutaneously into the left shoulder of 6- to 8-wk-; efficacy_dosage_symbols==; efficacy_dosage_value=3.7–5.55; efficacy_dosage_unit=MBq; efficacy_description=Fractionated administration (2×37 MBq) prolongs median survival time, providing a new para
- animal_in_vivo_efficacy.csv line 26: study_ref_id=FE00519; efficacy_animal_model=Nude mice with advanced human bladder carcinoma; efficacy_dosage_symbols==; efficacy_dosage_value=0.46-0.93; efficacy_dosage_unit=MBq; efficacy_description=Mean survival increased from 65.4d to 141.5d, 33% survival >268d
- animal_in_vivo_efficacy.csv line 34: study_ref_id=EF00611; efficacy_animal_model=BALB/c nude mice with A-427cells; efficacy_dosage_symbols==; efficacy_dosage_value=​400​ or ​500; efficacy_dosage_unit=μCi​; efficacy_description=Mice given two intratumoral AdSSTr2 injections + four 400/500 μCi [90Y]-SMT 487 doses had 
- animal_in_vivo_efficacy.csv line 37: study_ref_id=EF00613; efficacy_animal_model=BALB/c nude mice bearing A549 lung cancer xenografts; efficacy_dosage_symbols==; efficacy_dosage_value=370 or 740; efficacy_dosage_unit=kBq; efficacy_description=TUNEL assay detected significantly more apoptotic cells in radioligand-treated groups, sho
- animal_in_vivo_efficacy.csv line 38: study_ref_id=EF00614; efficacy_animal_model=BALB/c nude mice with C666-1 xenografts; efficacy_dosage_symbols==; efficacy_dosage_value=18.5​​, ​​29.6​; efficacy_dosage_unit=MBq; efficacy_description=Highly potent.​​ ​​Dose-dependent tumor growth inhibition and regression.​​ 29.6 MBq group
- animal_in_vivo_efficacy.csv line 40: study_ref_id=EF00618; efficacy_animal_model=Male 6–8-week-old BALB/c (nu/nu) nude mice bearing CA20948 cells; efficacy_dosage_symbols==; efficacy_dosage_value=2~4; efficacy_dosage_unit=MBq; efficacy_description=Higher tumour uptakes were found in CA20948 tumour-bearing animals compared to those in H6
