priority,error_type,error_count,problem,tables,recommended_fix,samples
- animal_in_vivo_efficacy.csv line 41: study_ref_id=EF00619; efficacy_animal_model=Male 6–8-week-old BALB/c (nu/nu) nude mice bearing H69 cells; efficacy_dosage_symbols==; efficacy_dosage_value=2~4; efficacy_dosage_unit=MBq; efficacy_description=For H69 tumour-bearing mice, the highest tumour uptake was found to be 9.8 ± 2.4 %IA/g. Ne
- animal_in_vivo_efficacy.csv line 44: study_ref_id=EF00622; efficacy_animal_model=H69 xenograft mice; efficacy_dosage_symbols==; efficacy_dosage_value=46.3, 148; efficacy_dosage_unit=kBq; efficacy_description=Animals treated with 225Ac-MACROPAATE demonstrated a significant tumor growth delay and im"
14,FK_MISSING_PARENT,73,animal_in_vivo_biodist.study_ref_id references missing animal_in_vivo_study.study_id.,animal_in_vivo_biodist(73),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- animal_in_vivo_biodist.csv line 1618: study_ref_id=BIO01451; biodist_type=Ex vivo biodistribution; animal_model=4-5-week-old BALB/c nude mice (subcutaneous inoculation of U87MG cells into the right trun; dosage_symbols==; dosage_value=0.6; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 1619: study_ref_id=BIO01451; biodist_type=Ex vivo biodistribution; animal_model=4-5-week-old BALB/c nude mice (subcutaneous inoculation of U87MG cells into the right trun; dosage_symbols==; dosage_value=0.6; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 1620: study_ref_id=BIO01451; biodist_type=Ex vivo biodistribution; animal_model=4-5-week-old BALB/c nude mice (subcutaneous inoculation of U87MG cells into the right trun; dosage_symbols==; dosage_value=0.6; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 1621: study_ref_id=BIO01451; biodist_type=Ex vivo biodistribution; animal_model=4-5-week-old BALB/c nude mice (subcutaneous inoculation of U87MG cells into the right trun; dosage_symbols==; dosage_value=0.6; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 1622: study_ref_id=BIO01451; biodist_type=Ex vivo biodistribution; animal_model=4-5-week-old BALB/c nude mice (subcutaneous inoculation of U87MG cells into the right trun; dosage_symbols==; dosage_value=0.6; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 1623: study_ref_id=BIO01451; biodist_type=Ex vivo biodistribution; animal_model=4-5-week-old BALB/c nude mice (subcutaneous inoculation of U87MG cells into the right trun; dosage_symbols==; dosage_value=0.6; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 2163: study_ref_id=BIO02081; biodist_type=Imaging; animal_model=C57BL/6 mice bearing MEER tumors; dosage_symbols==; dosage_value=50; dosage_unit=µg
- animal_in_vivo_biodist.csv line 2369: study_ref_id=BIO02208; biodist_type=Ex vivo biodistribution; animal_model=Injection of 4T1 cells into the mammary gland of 8-week-old female Balb-c mice; metabolism=Hepatobiliary and renal"
15,UNIQUE_DUPLICATE,69,"A UNIQUE KEY is violated, usually a repeated relation row.",drug_indication(51); animal_in_vivo_study(9); in_vitro(6); rdc_drug(1); indication(1); drug_target(1),Deduplicate rows or merge notes.,"- rdc_drug.csv line 738: drug_id=RDC01070; drug_name=[177Lu]Lu-girentuximab; drug_synonyms=177Lu-girentuximab; 177Lu-TLX250; [177Lu]Lu-girentuximab; status=Phase 3; type=Treatment; main_pubmed=26706103
- indication.csv line 70: indication_id=IN00070; name=Myocardial Infarction; icd11_code=BA41.Z; description=Myocardial infarction is a life-threatening cardiovascular condition caused by abrupt bloc
- drug_target.csv line 1895: drug_id=RDC01070; target_id=TAR0018
- drug_indication.csv line 102: drug_id=RDC00070; indication_id=IN00041
- drug_indication.csv line 104: drug_id=RDC00071; indication_id=IN00041
- drug_indication.csv line 124: drug_id=RDC00084; indication_id=IN00041
- drug_indication.csv line 363: drug_id=RDC00351; indication_id=IN00056
- drug_indication.csv line 497: drug_id=RDC00522; indication_id=IN00072"
16,DECIMAL_INVALID,65,"animal_in_vivo_biodist.tbr_tumor_muscle is DECIMAL, but CSV contains ranges, mean +/- sd, dates, or text.",animal_in_vivo_biodist(65),"Use one numeric value, or change schema to store raw_value / min / max / error separately.","- animal_in_vivo_biodist.csv line 146: study_ref_id=BIO00157; biodist_type=Ex vivo biodistribution; animal_model=Subcutaneous inoculation of BxPC-3 cells on the right anterior ventral side of female BALB; detection_time=0.5h; metabolism=We assessed the metabolic stability of 99mTc–HYNIC–cHK in normal BALB/c mice by analyzing 
- animal_in_vivo_biodist.csv line 264: study_ref_id=BIO01430; biodist_type=Ex vivo biodistribution; animal_model=Female CF-1 mice carrying PC3 cells; metabolism=The drug exhibits high stability in the body, with no significant metal displacement or me
- animal_in_vivo_biodist.csv line 265: study_ref_id=BIO01430; biodist_type=Ex vivo biodistribution; animal_model=Female CF-1 mice carrying PC3 cells; metabolism=The drug exhibits high stability in the body, with no significant metal displacement or me
- animal_in_vivo_biodist.csv line 266: study_ref_id=BIO01430; biodist_type=Ex vivo biodistribution; animal_model=Female CF-1 mice carrying PC3 cells; metabolism=The drug exhibits high stability in the body, with no significant metal displacement or me
- animal_in_vivo_biodist.csv line 328: study_ref_id=BIO00252; biodist_type=Ex vivo biodistribution; animal_model=Subcutaneous implantation of U87MG cells into the right upper abdomen of female BALB/nude ; dosage_symbols==; dosage_value=15; dosage_unit=μCi
- animal_in_vivo_biodist.csv line 340: study_ref_id=BIO00258; biodist_type=Imaging; animal_model=Subcutaneous injection of U87MG tumor into the forelimbs of 3-4 week old female thymus fre; dosage_symbols==; dosage_value=3.7; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 399: study_ref_id=BIO00293; biodist_type=Ex vivo biodistribution; animal_model=Subcutaneous implantation of BxPC-3 cells in mice; dosage_symbols==; dosage_value=5.5; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 402: study_ref_id=BIO00294; biodist_type=Imaging; animal_model=Subcutaneous implantation of BxPC-3 cells in mice; dosage_symbols==; dosage_value=37; dosage_unit=MBq"
17,VALUE_TOO_LONG,54,A CSV value exceeds the VARCHAR length in main.sql.,human_activity(28); animal_in_vivo_biodist(17); animal_in_vivo_efficacy(9),Shorten the value or change the column to TEXT / a larger VARCHAR.,"- human_activity.csv line 36: activity_id=HU0035; drug_id=RDC00606; doi=10.1002/bip.10256; indication=Neuroendocrine tumours; patients=30 end-stage patients with mainly neuroendocrine tumours.; frequency=At least 2 weeks intervals between administrations and a total of eight administrations is
- human_activity.csv line 40: activity_id=HU0039; drug_id=RDC00621; doi=10.1007/s00259-005-1872-2; indication=Somatostatin receptor (sstr)positive tumours; patients=Six patients with somatostatin receptor (sstr)-positive tumours; frequency=After injection of 137±28 MBq [123I]Mtr-TOCA, dynamic data acquisition of the upper abdome
- human_activity.csv line 41: activity_id=HU0040; drug_id=RDC00621; doi=10.1007/s00259-005-1872-2; indication=Somatostatin receptor (sstr)positive tumours; patients=Six patients with somatostatin receptor (sstr)-positive tumours; frequency=After injection of 137±28 MBq [123I]Mtr-TOCA, dynamic data acquisition of the upper abdome
- human_activity.csv line 42: activity_id=HU0041; drug_id=RDC00622; doi=10.1007/s00259-005-1872-2; indication=Somatostatin receptor (sstr)positive tumours; patients=Six patients with somatostatin receptor (sstr)-positive tumours; frequency=After injection of 137±28 MBq [123I]Mtr-TOCA, dynamic data acquisition of the upper abdome
- human_activity.csv line 295: activity_id=HU0294; drug_id=RDC01385; pmid=27635024; doi=10.2967/jnumed.116.178939; indication=mCRPC; patients=Two male patients. One 73-year-old with metastatic castration-resistant prostate cancer (m
- human_activity.csv line 296: activity_id=HU0295; drug_id=RDC01237; pmid=27056618; doi=10.2967/jnumed.116.173757; indication=mCRPC; patients=n=82; all male;​​ Median age: ​​73 years​​ (range 43-87). Heavily pre-treated: 99% had pri
- human_activity.csv line 297: activity_id=HU0296; drug_id=RDC01237; pmid=27056618; doi=10.2967/jnumed.116.173757; indication=mCRPC; patients=n=82; all male;​​ Median age: ​​73 years​​ (range 43-87). Heavily pre-treated: 99% had pri
- human_activity.csv line 370: activity_id=HU0369; drug_id=RDC01720; pmid=32817142; doi=10.2967/jnumed.120.248799; indication=Breast Cancer; patients=29 patients with untreated primary breast cancer."
18,DECIMAL_INVALID,53,"animal_in_vivo_biodist.tbr_tumor_kidney is DECIMAL, but CSV contains ranges, mean +/- sd, dates, or text.",animal_in_vivo_biodist(53),"Use one numeric value, or change schema to store raw_value / min / max / error separately.","- animal_in_vivo_biodist.csv line 689: study_ref_id=BIO00732; biodist_type=Ex vivo biodistribution; animal_model=Subcutaneous inoculation of DX3puro and DX3puro β 6 cells into the contralateral scapula o; dosage_symbols==; dosage_value=50; dosage_unit=μCi
- animal_in_vivo_biodist.csv line 775: study_ref_id=BIO00768; biodist_type=Ex vivo biodistribution; animal_model=BALB/κ nude mice (half male and half female, 4-6 weeks old) were subcutaneously injected w; dosage_symbols==; dosage_value=1.11; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 776: study_ref_id=BIO00768; biodist_type=Ex vivo biodistribution; animal_model=BALB/κ nude mice (half male and half female, 4-6 weeks old) were subcutaneously injected w; dosage_symbols==; dosage_value=1.11; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 777: study_ref_id=BIO00768; biodist_type=Ex vivo biodistribution; animal_model=BALB/κ nude mice (half male and half female, 4-6 weeks old) were subcutaneously injected w; dosage_symbols==; dosage_value=1.11; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 883: study_ref_id=BIO00843; biodist_type=Ex vivo biodistribution; animal_model=c-neu Oncomouse mammary adenocarcinoma model; dosage_symbols==; dosage_value=2; dosage_unit=mCi/kg
- animal_in_vivo_biodist.csv line 884: study_ref_id=BIO00843; biodist_type=Ex vivo biodistribution; animal_model=c-neu Oncomouse mammary adenocarcinoma model; dosage_symbols==; dosage_value=2; dosage_unit=mCi/kg
- animal_in_vivo_biodist.csv line 885: study_ref_id=BIO00843; biodist_type=Ex vivo biodistribution; animal_model=c-neu Oncomouse mammary adenocarcinoma model; dosage_symbols==; dosage_value=2; dosage_unit=mCi/kg
- animal_in_vivo_biodist.csv line 886: study_ref_id=BIO00843; biodist_type=Ex vivo biodistribution; animal_model=c-neu Oncomouse mammary adenocarcinoma model; dosage_symbols==; dosage_value=2; dosage_unit=mCi/kg"
19,NOT_NULL_EMPTY,36,A required NOT NULL field is empty.,drug_chemical_rel(18); drug_target(10); in_vitro_measurement(4); rdc_drug_reference(2); drug_indication(1); animal_in_vivo_biodist(1),Fill the required ID/value or remove the invalid row.,"- drug_target.csv line 1993: drug_id=RDC02815
- drug_target.csv line 1994: drug_id=RDC02816
- drug_target.csv line 2001: drug_id=RDC02823
- drug_target.csv line 2009: drug_id=RDC02831
- drug_target.csv line 2010: drug_id=RDC02832
- drug_target.csv line 2011: drug_id=RDC02833
- drug_target.csv line 2017: drug_id=RDC02839
- drug_target.csv line 2018: drug_id=RDC02840"
20,FK_MISSING_PARENT,21,animal_in_vivo_study.drug_id references missing rdc_drug.drug_id.,animal_in_vivo_study(21),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- animal_in_vivo_study.csv line 519: study_id=BIO01212; drug_id=RDC00630; pmid=11948475; doi=10.1002/ijc.10295
- animal_in_vivo_study.csv line 656: study_id=BIO01451; drug_id=RDC00771; pmid=34591481; doi=10.1021/acs.molpharmaceut.1c00566
- animal_in_vivo_study.csv line 657: study_id=BIO01452; drug_id=RDC00771; pmid=34591481; doi=10.1021/acs.molpharmaceut.1c00566
- animal_in_vivo_study.csv line 1026: study_id=BIO02208; drug_id=RDC01102; pmid=40733128; doi=10.3390/pharmaceutics17070920
- animal_in_vivo_study.csv line 1125: study_id=BIO02336; drug_id=RDC01239; pmid=26629713; doi=10.1021/acs.jmedchem.5b01268
- animal_in_vivo_study.csv line 1156: study_id=BIO02390; drug_id=RDC01304; pmid=16713147; doi=10.1016/j.ijpharm.2006.04.011
- animal_in_vivo_study.csv line 1227: study_id=BIO02466; drug_id=RDC01416; pmid=40049746; doi=10.2967/jnumed.124.268508
- animal_in_vivo_study.csv line 1228: study_id=BIO02467; drug_id=RDC01416; pmid=40049746; doi=10.2967/jnumed.124.268508"
21,FK_MISSING_PARENT,14,animal_in_vivo_efficacy.study_ref_id references missing animal_in_vivo_study.study_id.,animal_in_vivo_efficacy(14),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- animal_in_vivo_efficacy.csv line 19: study_ref_id=FE00512; efficacy_animal_model=Athymic CD1 nu/nu mice with subcutaneous ​​MDA-MB-231/H2N​​ (HER2mod/EGFRmod) or ​​TrR1​​ ; efficacy_dosage_symbols==; efficacy_dosage_value=10; efficacy_dosage_unit=ug/MBq; efficacy_description=A single dose (11.1 MBq, 10 μg) significantly inhibited tumor growth in both trastuzumab-s
- animal_in_vivo_efficacy.csv line 20: study_ref_id=FE00513; efficacy_animal_model=NOD/SCID mice with s.c. PANC-1 xenografts; efficacy_dosage_symbols==; efficacy_dosage_value=10; efficacy_dosage_unit=MBq; efficacy_description=TDT=51.8 days vs 15.6 days control
- animal_in_vivo_efficacy.csv line 21: study_ref_id=FE00514; efficacy_animal_model=NRG mice with s.c. PANC-1 xenografts; efficacy_dosage_symbols==; efficacy_dosage_value=10; efficacy_dosage_unit=MBq; efficacy_description=TDT=20.9 days vs 9.1 days control
- animal_in_vivo_efficacy.csv line 22: study_ref_id=FE00515; efficacy_animal_model=NOD/SCID mice with s.c. PANC-1 xenografts; efficacy_dosage_symbols==; efficacy_dosage_value=10; efficacy_dosage_unit=MBq; efficacy_description=TDT=28.1 days vs 15.6 days control
- animal_in_vivo_efficacy.csv line 23: study_ref_id=FE00516; efficacy_animal_model=NRG mice with MDA-MB-231 tumors; efficacy_dosage_symbols==; efficacy_dosage_value=22; efficacy_dosage_unit=MBq; efficacy_description=Significantly delayed tumor growth and prolonged median survival
- animal_in_vivo_efficacy.csv line 24: study_ref_id=FE00517; efficacy_animal_model=TE-8 xenograft in BALB/c nude mice; efficacy_dosage_symbols==; efficacy_dosage_value=12.95; efficacy_dosage_unit=MBq; efficacy_description=Radioimmunotherapy significantly inhibited tumor growth (34.3% reduction vs baseline, P<0.
- animal_in_vivo_efficacy.csv line 25: study_ref_id=FE00518; efficacy_animal_model=UM-SCC-22B tumor bearing nude mice; efficacy_dosage_symbols==; efficacy_dosage_value=14.8; efficacy_dosage_unit=MBq; efficacy_description=¹⁷⁷Lu-Pan maintained durable response (36-day complete suppression)
- animal_in_vivo_efficacy.csv line 27: study_ref_id=FE00520; efficacy_animal_model=Female Swiss nu/nu mice with EJ28-luc bladder carcinoma; efficacy_dosage_symbols==; efficacy_dosage_value=0.925; efficacy_dosage_unit=MBq; efficacy_description=90% survival >300 d when treated 1h after cell instillation"
22,FK_MISSING_PARENT,9,drug_target.drug_id references missing rdc_drug.drug_id.,drug_target(9),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- drug_target.csv line 370: drug_id=RDC00694; target_id=TAR0002
- drug_target.csv line 606: drug_id=RDC01124; target_id=TAR0005
- drug_target.csv line 695: drug_id=RDC01244; target_id=TAR0001
- drug_target.csv line 723: drug_id=RDC01300; target_id=TAR0001
- drug_target.csv line 730: drug_id=RDC01312; target_id=TAR0001
- drug_target.csv line 1075: drug_id=RDC01773; target_id=TAR0016
- drug_target.csv line 1374: drug_id=RDC02187; target_id=TAR0020
- drug_target.csv line 1431: drug_id=RDC02269; target_id=TAR0006"
23,FK_MISSING_PARENT,6,in_vitro.drug_id references missing rdc_drug.drug_id.,in_vitro(6),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- in_vitro.csv line 68: in_vitro_id=VI00178; drug_id=RDC00178; pmid=24480266; doi=10.1016/j.nucmedbio.2013.11.006
- in_vitro.csv line 789: in_vitro_id=VI01551; drug_id=RDC01551; pmid=39626113; doi=10.1021/acs.jmedchem.4c02656; study_overview=All 12 tracers in physiological saline did not show significant degradation within 4 hours
- in_vitro.csv line 870: in_vitro_id=VI01699; drug_id=RDC01706; pmid=30608701; doi=10.1021/acs.molpharmaceut.8b00922; study_overview=At least 3 hours. In PBS or under high-concentration histidine challenge, the protein-asso
- in_vitro.csv line 1238: in_vitro_id=VI02253; drug_id=RDC02292; doi=10.1007/s10967-020-07043-6; study_overview=At 0.5 h, 1 h, and 24 h of incubation, the protein binding rates were 1.8±0.6%, 4.8±0.5%, 
- in_vitro.csv line 1465: in_vitro_id=VI00968; drug_id=RDC00968; pmid=41552550; doi=10.1021/acsomega.5c10157; study_overview=This study developed [¹⁸F]FNA-folate, a novel PET tracer for inflammation, via N-acylation
- in_vitro.csv line 1541: in_vitro_id=VI00052; drug_id=RDC00052; pmid=39013156; doi=10.1021/acs.jmedchem.4c00448"
24,DECIMAL_INVALID,6,"animal_in_vivo_biodist.tbr_tumor_liver is DECIMAL, but CSV contains ranges, mean +/- sd, dates, or text.",animal_in_vivo_biodist(6),"Use one numeric value, or change schema to store raw_value / min / max / error separately.","- animal_in_vivo_biodist.csv line 397: study_ref_id=BIO00293; biodist_type=Ex vivo biodistribution; animal_model=Subcutaneous implantation of BxPC-3 cells in mice; dosage_symbols==; dosage_value=5.5; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 401: study_ref_id=BIO00293; biodist_type=Ex vivo biodistribution; animal_model=Subcutaneous implantation of BxPC-3 cells in mice; dosage_symbols==; dosage_value=5.5; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 789: study_ref_id=BIO00810; biodist_type=Ex vivo biodistribution; animal_model=nude mice (n = 5 per time point) bearing receptor-positive M-21 human melanoma xenografts; dosage_symbols==; dosage_value=5; dosage_unit=Ci/<0.1μg
- animal_in_vivo_biodist.csv line 1018: study_ref_id=BIO01058; biodist_type=Ex vivo biodistribution; animal_model=Female BALB/C nu/nu mice bearing A431 xenografts; dosage_symbols==; dosage_value=800; dosage_unit=kBq
- animal_in_vivo_biodist.csv line 1188: study_ref_id=BIO01136; biodist_type=Ex vivo biodistribution; animal_model=BALB/C nu/nu mice bearing U-87 MG xenografts; dosage_symbols==; dosage_value=380; dosage_unit=kBq
- animal_in_vivo_biodist.csv line 4179: study_ref_id=BIO04067; biodist_type=Ex vivo biodistribution; animal_model=Female BALB/Cnu/nu Mice Bearing SKOV-3 Xenografts; dosage_symbols==; dosage_value=10; dosage_unit=kBq"
25,OTHER,6,ER_TRUNCATED_WRONG_VALUE: Incorrect datetime value: '-' for column 'created_at' at row 1,animal_in_vivo_biodist(6),Inspect the detailed row error.,"- animal_in_vivo_biodist.csv line 1591: study_ref_id=BIO01443; biodist_type=Imaging; animal_model=12-week-old male C57BL/6 mice (26-30 g), all subjected to unilateral supraspinatus tendon ; dosage_symbols==; dosage_value=0.2; dosage_unit=mCi
- animal_in_vivo_biodist.csv line 1596: study_ref_id=BIO01444; biodist_type=Ex vivo biodistribution; animal_model=nude mice bearing subcutaneous HT-1080.hFAP tumor; dosage_symbols==; dosage_value=3.85; dosage_unit=MBq/kg
- animal_in_vivo_biodist.csv line 1597: study_ref_id=BIO01445; biodist_type=Ex vivo biodistribution; animal_model=6-week-old female nu/nu mice (CDX model: subcutaneous injection of HT-1080-FAP cells; PDX ; dosage_symbols==; dosage_value=925; dosage_unit=kBq
- animal_in_vivo_biodist.csv line 1608: study_ref_id=BIO01448; biodist_type=Ex vivo biodistribution; animal_model=6-week-old female nu/nu mice (PDX model: subcutaneous implantation of pancreatic cancer pa; dosage_symbols==; dosage_value=925; dosage_unit=kBq
- animal_in_vivo_biodist.csv line 1609: study_ref_id=BIO01449; biodist_type=Ex vivo biodistribution; animal_model=4-5-week-old BALB/c nude mice (subcutaneous inoculation of U87MG cells into the right trun; dosage_symbols==; dosage_value=0.6; dosage_unit=MBq
- animal_in_vivo_biodist.csv line 1616: study_ref_id=BIO01450; biodist_type=Imaging; animal_model=4-5-week-old BALB/c nude mice (subcutaneous inoculation of U87MG cells into the right trun; dosage_symbols==; dosage_value=0.7; dosage_unit=MBq"
26,FK_MISSING_PARENT,3,drug_indication.drug_id references missing rdc_drug.drug_id.,drug_indication(3),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.","- drug_indication.csv line 986: drug_id=RDC01134; indication_id=IN00024
- drug_indication.csv line 987: drug_id=RDC01134; indication_id=IN00042
- drug_indication.csv line 988: drug_id=RDC01134; indication_id=IN00088"
27,FK_MISSING_PARENT,1,drug_chemical_rel.drug_id references missing rdc_drug.drug_id.,drug_chemical_rel(1),"Load/fix parent table first. If one cell contains multiple IDs, split it into multiple rows. Some FK errors are downstream effects of earlier parent-table failures.",- drug_chemical_rel.csv line 713: drug_id=RDC01065; chemical_entity_id=RAD0007; relation_role=Radionuclide